ID;Name;Family;Log P;Accessible Area;Volume;COOH;Num OH;F3-OH;F-5OH;F6-OH;F7-OH;F13-OH;F14-OH;Cm6-OH;Cm7-OH;Ck3-N;Ck7-N;Ck-OH;Cn2-OH;Cn3-OH;Cn4-OH;UGT71C1;UGT71C2;UGT71C3;UGT71C4;UGT71C5;UGT71B8;UGT71B6;UGT71B5;UGT71B1;UGT88A1;UGT72E2;UGT72E3;UGT72E1;UGT72D1;UGT72C1;UGT72B3;UGT72B1;UGT73C3;UGT73C4;UGT73C5;UGT73C6;UGT73C1;UGT73C7;UGT73B2;UGT73B3;UGT73B4;UGT73B5;UGT73B1;UGT89B1;UGT89C1;UGT84A3;UGT84A4;UGT84A2;UGT84A1;UGT84B1;UGT84B2;UGT75B1;UGT75D1;UGT74F1;UGT74F2;UGT74B1;UGT76E5;UGT76E4;UGT76E1;UGT76E2;UGT76E12;UGT76E11;UGT76C4;UGT85A5;UGT85A4;UGT78D2;UGT78D1;VVGT1
13; Indole 3-acetate;8;1.58;369.567;140.09;4.49;1;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;1;1;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14; Gibberellin A3;7;0.24;518.267;297.542;4.13;1;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15; Gibberellin A4;7;1.7;517.605;299.34;4.3;1;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16; (?)-Jasmonic acid;6;1.66;427.829;210.84;4.52;0;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17; (?)- cis, trans Abscisic acid;9;1.75;499.018;246.338;4.76;0;;;;;;;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18; Kinetin;3;1.2;418.387;157.373;0;0;;;;;;;;;4.1;9.66;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Zeatin;3;0.83;448.358;179.888;0;1;;;;;;;;;4.05;9.68;14.75;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Luteolin;1;2.53;472.988;198.818;0;4;0;7.05;0;8.24;9.94;10.03;;;;;;;;;1;1;1;1;2;1;1;1;1;1;0;0;2;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;2;0;1;1;1;1;1;1;1;1;1;1;1;2;0;1;0;1;0;1;1;1;1;0;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Quercetin;1;3.55;481.865;205.611;0;5;8.74;6.9;0;8.14;9.94;13.03;;;;;;;;;1;2;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;1;1;1;0;0;0;1;1;1;1;0;1;1;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22; Fisetin;1;3.57;472.277;199.009;0;4;9.1;0;0;7.43;9.94;13.03;;;;;;;;;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
