ID;Name;Family;Log P;Accessible Area;Volume;COOH;Num OH;F3-OH;F-5OH;F6-OH;F7-OH;F13-OH;F14-OH;Cm6-OH;Cm7-OH;Ck3-N;Ck7-N;Ck-OH;Cn2-OH;Cn3-OH;Cn4-OH;UGT71C1;UGT71C2;UGT71C3;UGT71C4;UGT71C5;UGT71B8;UGT71B6;UGT71B5;UGT71B1;UGT88A1;UGT72E2;UGT72E3;UGT72E1;UGT72D1;UGT72C1;UGT72B3;UGT72B1;UGT73C3;UGT73C4;UGT73C5;UGT73C6;UGT73C1;UGT73C7;UGT73B2;UGT73B3;UGT73B4;UGT73B5;UGT73B1;UGT89B1;UGT89C1;UGT84A3;UGT84A4;UGT84A2;UGT84A1;UGT84B1;UGT84B2;UGT75B1;UGT75D1;UGT74F1;UGT74F2;UGT74B1;UGT76E5;UGT76E4;UGT76E1;UGT76E2;UGT76E12;UGT76E11;UGT76C4;UGT85A5;UGT85A4;UGT78D2;UGT78D1;VVGT1
59;a-ManOBnF5;11;-0.53;528.054;240.845;0;4;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;ManSTol;11;-0.1;504.233;237.923;0;4;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;Catechin;1;0.31;495.705;219.379;0;5;14.06;10.6;0;9.64;9.54;12.43;;;;;;;;;2;0;0;0;2;0;0;2;2;1;0;2;2;1;0;0;3;1;0;1;1;0;0;0;1;0;1;2;0;1;0;0;1;1;1;2;0;0;2;1;1;0;0;0;0;0;0;0;0;0;1;0;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;Genistein;1;3.14;461.088;193.664;0;3;0;7.08;0;8.26;0;9.66;;;;;;;;;1;0;1;0;0;0;0;1;2;1;0;0;0;1;0;0;3;2;0;1;1;1;0;1;0;1;1;0;0;0;1;1;1;1;0;0;1;0;0;1;1;0;0;2;0;1;0;2;2;0;0;2;1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;N6-Benzyladenine;3;2.04;439.329;175.351;0;0;;;;;;;;;4.1;9.81;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;Trans-Zentin-Glucose;3;-1.2;646.895;313.106;0;3;;;;;;;;;4.05;9.68;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;DihydroZeatin;3;0.63;455.256;189.717;0;1;;;;;;;;;4.1;9.81;14.98;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;1;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;Olomoucine;3;-0.07;588.113;246.543;0;1;;;;;;;;;6.09;0;14.56;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;N6-isopentenyladenine;3;2.31;436.843;170.873;0;0;;;;;;;;;4.7;9.75;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;Spectinomycin;11;1.27;539.54;284.939;0;1;;;;;;;;;;;;;;;3;3;0;0;3;0;0;3;0;0;0;0;0;0;0;3;3;3;3;0;0;3;3;3;3;0;0;0;0;0;3;3;3;3;3;3;3;3;0;3;3;3;0;0;0;0;0;3;0;0;0;3;3
